Wall time,Step,Value
1685400676.815596,0,0.7427030205726624
1685403138.653989,1,0.9073604345321655
1685405634.431107,2,0.9611294174194336
1685408089.216867,3,0.9760405921936035
1685410557.159943,4,0.9762562487983704
